CohortPeriod,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11
1,1217.0,945.0,961.0,1145.0,1342.0,934.0,911.0,991.0,719.0,754.0,1355.0,1259.0,734.0,598.0,663.0,655.0,776.0,641.0,543.0,699.0,603.0,809.0,391.0
2,28.0,31.0,43.0,35.0,35.0,33.0,26.0,35.0,21.0,38.0,46.0,24.0,20.0,16.0,25.0,20.0,41.0,25.0,33.0,26.0,28.0,21.0,
3,21.0,23.0,12.0,15.0,26.0,13.0,7.0,12.0,15.0,15.0,14.0,6.0,8.0,11.0,9.0,5.0,14.0,18.0,5.0,15.0,7.0,,
4,20.0,13.0,8.0,8.0,8.0,11.0,10.0,12.0,7.0,5.0,6.0,4.0,8.0,6.0,7.0,8.0,12.0,9.0,4.0,3.0,,,
5,11.0,9.0,4.0,6.0,8.0,5.0,7.0,7.0,5.0,5.0,7.0,6.0,12.0,4.0,4.0,10.0,6.0,9.0,1.0,,,,
6,4.0,6.0,3.0,3.0,10.0,11.0,4.0,5.0,3.0,4.0,6.0,4.0,8.0,2.0,9.0,3.0,6.0,4.0,,,,,
7,6.0,1.0,3.0,4.0,12.0,7.0,7.0,6.0,2.0,7.0,5.0,3.0,2.0,6.0,4.0,4.0,4.0,,,,,,
8,4.0,5.0,8.0,9.0,5.0,5.0,2.0,3.0,3.0,7.0,7.0,4.0,6.0,3.0,6.0,2.0,,,,,,,
9,5.0,4.0,7.0,4.0,9.0,2.0,1.0,2.0,3.0,5.0,3.0,7.0,2.0,3.0,2.0,,,,,,,,
10,6.0,7.0,5.0,4.0,1.0,4.0,7.0,3.0,2.0,6.0,10.0,3.0,3.0,2.0,,,,,,,,,
11,13.0,5.0,4.0,2.0,3.0,3.0,3.0,5.0,2.0,4.0,5.0,4.0,1.0,,,,,,,,,,
12,13.0,5.0,4.0,2.0,4.0,6.0,2.0,4.0,,8.0,13.0,2.0,,,,,,,,,,,
13,12.0,3.0,3.0,3.0,6.0,8.0,2.0,2.0,,5.0,7.0,,,,,,,,,,,,
14,4.0,4.0,1.0,1.0,1.0,3.0,7.0,2.0,,2.0,,,,,,,,,,,,,
15,3.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
16,3.0,1.0,6.0,3.0,4.0,2.0,3.0,1.0,,,,,,,,,,,,,,,
17,4.0,1.0,1.0,7.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,
18,3.0,7.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,
19,2.0,2.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,
20,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
21,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
22,1.0,,,,,,,,,,,,,,,,,,,,,,
