CohortPeriod,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.0230073952342,0.0328042328042,0.044745057232,0.0305676855895,0.0260804769001,0.0353319057816,0.0285400658617,0.0353178607467,0.029207232267,0.0503978779841,0.0339483394834,0.0190627482129,0.0272479564033,0.0267558528428,0.0377073906486,0.030534351145,0.0528350515464,0.0390015600624,0.060773480663,0.0371959942775,0.0464344941957,0.0259579728059,
3,0.0172555464256,0.0243386243386,0.0124869927159,0.0131004366812,0.0193740685544,0.0139186295503,0.00768386388584,0.0121089808274,0.0208623087622,0.0198938992042,0.010332103321,0.00476568705322,0.0108991825613,0.0183946488294,0.0135746606335,0.00763358778626,0.0180412371134,0.0280811232449,0.00920810313076,0.0214592274678,0.0116086235489,,
4,0.0164338537387,0.0137566137566,0.00832466181061,0.00698689956332,0.00596125186289,0.0117773019272,0.0109769484083,0.0121089808274,0.00973574408901,0.00663129973475,0.00442804428044,0.00317712470214,0.0108991825613,0.0100334448161,0.0105580693816,0.012213740458,0.0154639175258,0.0140405616225,0.0073664825046,0.00429184549356,,,
5,0.00903861955629,0.00952380952381,0.00416233090531,0.00524017467249,0.00596125186289,0.00535331905782,0.00768386388584,0.00706357214934,0.00695410292072,0.00663129973475,0.00516605166052,0.00476568705322,0.016348773842,0.0066889632107,0.00603318250377,0.0152671755725,0.00773195876289,0.0140405616225,0.00184162062615,,,,
6,0.00328677074774,0.00634920634921,0.00312174817898,0.00262008733624,0.00745156482861,0.0117773019272,0.00439077936334,0.0050454086781,0.00417246175243,0.0053050397878,0.00442804428044,0.00317712470214,0.0108991825613,0.00334448160535,0.0135746606335,0.00458015267176,0.00773195876289,0.00624024960998,,,,,
7,0.00493015612161,0.0010582010582,0.00312174817898,0.00349344978166,0.00894187779434,0.00749464668094,0.00768386388584,0.00605449041372,0.00278164116829,0.00928381962865,0.00369003690037,0.00238284352661,0.00272479564033,0.0100334448161,0.00603318250377,0.00610687022901,0.00515463917526,,,,,,
8,0.00328677074774,0.00529100529101,0.00832466181061,0.00786026200873,0.00372578241431,0.00535331905782,0.00219538968167,0.00302724520686,0.00417246175243,0.00928381962865,0.00516605166052,0.00317712470214,0.00817438692098,0.00501672240803,0.00904977375566,0.0030534351145,,,,,,,
9,0.00410846343468,0.0042328042328,0.00728407908429,0.00349344978166,0.00670640834575,0.00214132762313,0.00109769484083,0.00201816347124,0.00417246175243,0.00663129973475,0.00221402214022,0.00555996822875,0.00272479564033,0.00501672240803,0.00301659125189,,,,,,,,
10,0.00493015612161,0.00740740740741,0.00520291363163,0.00349344978166,0.000745156482861,0.00428265524625,0.00768386388584,0.00302724520686,0.00278164116829,0.0079575596817,0.00738007380074,0.00238284352661,0.00408719346049,0.00334448160535,,,,,,,,,
11,0.0106820049302,0.00529100529101,0.00416233090531,0.00174672489083,0.00223546944858,0.00321199143469,0.0032930845225,0.0050454086781,0.00278164116829,0.0053050397878,0.00369003690037,0.00317712470214,0.00136239782016,,,,,,,,,,
12,0.0106820049302,0.00529100529101,0.00416233090531,0.00174672489083,0.00298062593145,0.00642398286938,0.00219538968167,0.00403632694248,,0.0106100795756,0.00959409594096,0.00158856235107,,,,,,,,,,,
13,0.00986031224322,0.0031746031746,0.00312174817898,0.00262008733624,0.00447093889717,0.00856531049251,0.00219538968167,0.00201816347124,,0.00663129973475,0.00516605166052,,,,,,,,,,,,
14,0.00328677074774,0.0042328042328,0.00104058272633,0.000873362445415,0.000745156482861,0.00321199143469,0.00768386388584,0.00201816347124,,0.0026525198939,,,,,,,,,,,,,
15,0.00246507806081,0.0042328042328,0.00104058272633,0.00174672489083,0.00149031296572,0.00321199143469,0.00219538968167,0.00100908173562,,,,,,,,,,,,,,,
16,0.00246507806081,0.0010582010582,0.00624349635796,0.00262008733624,0.00298062593145,0.00214132762313,0.0032930845225,0.00100908173562,,,,,,,,,,,,,,,
17,0.00328677074774,0.0010582010582,0.00104058272633,0.0061135371179,0.00149031296572,0.00214132762313,0.00219538968167,,,,,,,,,,,,,,,,
18,0.00246507806081,0.00740740740741,0.00416233090531,0.00174672489083,0.00149031296572,0.00214132762313,,,,,,,,,,,,,,,,,
19,0.00164338537387,0.0021164021164,0.00416233090531,0.00262008733624,0.00149031296572,,,,,,,,,,,,,,,,,,
20,0.00164338537387,0.0010582010582,0.00416233090531,0.000873362445415,,,,,,,,,,,,,,,,,,,
21,0.00164338537387,0.0021164021164,0.00104058272633,,,,,,,,,,,,,,,,,,,,
22,0.000821692686935,,,,,,,,,,,,,,,,,,,,,,
