CohortPeriod,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.0198449756921,0.0450633871547,0.0596176527223,0.0375870474012,0.025441277359,0.0566761425138,0.0248302386104,0.0697136972748,0.0228284835483,0.0783050635319,0.0337010121484,0.021342454348,0.0276132570884,0.0457097055838,0.0306298674542,0.0295528543867,0.10072336572,0.0788172468459,0.056553487932,0.0510080175149,0.0397729621779,0.0336122619723,
3,0.0170793669992,0.0250673500939,0.00818038003576,0.00944891539687,0.0696635025047,0.0158616718025,0.00636120023059,0.0366919986145,0.0136623669518,0.0197086133593,0.0141274714095,0.00479519091921,0.0279022233935,0.0117071264997,0.00710424092372,0.00339048542883,0.0136705198058,0.0278681916614,0.00336472838655,0.0348597695091,0.0137863578765,,
4,0.0198628866676,0.0186728241732,0.00940347383955,0.00723214002024,0.00412026656758,0.0179027208815,0.017450576155,0.0136252136313,0.0080501618123,0.0130189758864,0.00905341884417,0.00183053195733,0.00777183785259,0.00636858623944,0.00723864069593,0.0163134669608,0.0182220992004,0.0233443589456,0.0120872079812,0.002209732513,,,
5,0.00535364835979,0.00651954586307,0.00269539206231,0.00516551602053,0.00553811721188,0.00763616479835,0.00895985384542,0.0114976137755,0.00450736635588,0.0125289283962,0.00265385437336,0.00239855118461,0.0221846345669,0.01079524625,0.0174688715785,0.0146005476092,0.00885659310953,0.0214258027734,0.00100438592908,,,,
6,0.0074537583871,0.0063521712989,0.00430692111942,0.00282418944129,0.00562760431293,0.0381990544264,0.00542740507821,0.00478694545689,0.00733369546284,0.0239648307349,0.0046151644951,0.00165181138162,0.0222918624668,0.00150049654333,0.00994398947042,0.00718830206263,0.00364457942952,0.00736048918996,,,,,
7,0.00518744221062,0.000907842361321,0.00298796348709,0.00556894571764,0.00994386023564,0.00798840283922,0.00475576509601,0.00519511069452,0.00190060691071,0.0466629580155,0.00490462319116,0.00195780267034,0.00351162968929,0.00805270816201,0.00369422298781,0.00280910733455,0.00554732881861,,,,,,
8,0.00785627385843,0.00714237454998,0.00657310467666,0.00762286041096,0.00405425407578,0.00531927188078,0.00261261586292,0.00103439558079,0.00475696067915,0.0451203480397,0.00745172492784,0.00255258219773,0.014569436844,0.00262398194303,0.00565603468258,0.00391191666654,,,,,,,
9,0.00276464573727,0.00174755396382,0.00443141959805,0.0021771949653,0.00788148189694,0.0124149259947,0.00120522125528,0.00171470524764,0.00401768933872,0.0180963897321,0.00277630989158,0.00698348260298,0.0015563171687,0.00511769527895,0.00701977624474,,,,,,,,
10,0.00997092451641,0.00935389898139,0.00432476590136,0.00340219053974,0.000275314628691,0.0259049050612,0.00551307743251,0.00270499430779,0.00422751817523,0.00991123087332,0.00971273768552,0.00353283747665,0.00359499181841,0.00105282021123,,,,,,,,,
11,0.0158689317182,0.00351055089964,0.00498875778738,0.000934134019636,0.0010866853513,0.00544590829288,0.001521885042,0.00688699158881,0.00163760462792,0.0316113246632,0.00270763505775,0.00311048666871,0.000985443448431,,,,,,,,,,
12,0.00946248392105,0.00416994309378,0.0016852944057,0.000699011851428,0.00353702493358,0.0118709428466,0.0033883583669,0.00728559527301,,0.0169890944049,0.014741029493,0.00179955053846,,,,,,,,,,,
13,0.00731451499678,0.00812095934922,0.00364624919283,0.00885747874595,0.0038235254499,0.00582386426834,0.000758429316342,0.00214004015647,,0.0152100222458,0.0168145511931,,,,,,,,,,,,
14,0.00167852803366,0.00617605328734,0.0017429787008,0.000462527971822,0.00029894678566,0.0027127537842,0.00752107210407,0.00792395747967,,0.00217045784175,,,,,,,,,,,,,
15,0.00177954208376,0.00593850404157,0.00224097261531,0.00153419484275,0.00140674353052,0.00392941826792,0.00109352327054,0.00411249609698,,,,,,,,,,,,,,,
16,0.00280162323512,0.000521768061322,0.0144832192651,0.00235875648515,0.00125463121349,0.00273130976232,0.00349949786171,0.0040199649348,,,,,,,,,,,,,,,
17,0.00217445020527,0.000510412934852,0.00117184193009,0.00468110988557,0.000849969912325,0.00130325904829,0.00895761988573,,,,,,,,,,,,,,,,
18,0.00134669350874,0.00783764894377,0.00311713065866,0.000940307111311,0.00184236295732,0.00109708151359,,,,,,,,,,,,,,,,,
19,0.00135526381423,0.00325483345152,0.0031195168795,0.00387543064123,0.00151954769312,,,,,,,,,,,,,,,,,,
20,0.00349485502413,0.000260600152499,0.00489351645123,0.00167399721303,,,,,,,,,,,,,,,,,,,
21,0.00161506925481,0.00316751252896,0.000601223903044,,,,,,,,,,,,,,,,,,,,
22,0.000736757385437,,,,,,,,,,,,,,,,,,,,,,
